dataset_scientificName	dataset_taxonID	acceptedNameUsageID	acceptedName	gbif_speciesName	gbif_taxonID	taxonomicStatus	ncbi_speciesName	ncbi_taxonID	status	ncbi_acceptedName	gbif_wikidata_uri	ncbi_taxonID_wd	ncbi_wikidata_uri	gbif_taxonID_wd	curation
Acer opalus Mill.	7100278	7100278	Acer opalus Mill.	Acer opalus Mill.	7100278	accepted	Acer opalus Mill.	168567	exact_match	Acer opalus	http://www.wikidata.org/entity/Q163822	168567			ok_auto
Salix triandra L.	7103891	7103891	Salix triandra L.	Salix triandra L.	7103891	accepted	Salix triandra L., 1753	77069	exact_match	Salix triandra	http://www.wikidata.org/entity/Q157532	77069			ok_auto
Salix myrsinites L.	7103992	7103992	Salix myrsinites L.	Salix myrsinites L.	7103992	accepted	Salix myrsinites L.	470276	exact_match	Salix myrsinites	http://www.wikidata.org/entity/Q3469828	470276			ok_auto
Cyclamen coum Mill.	7127354	7127354	Cyclamen coum Mill.	Cyclamen coum Mill.	7127354	accepted	Cyclamen coum Mill.	87519	exact_match	Cyclamen coum	http://www.wikidata.org/entity/Q82611	87519			ok_auto
Cyclamen hederifolium Aiton	7127810	7127810	Cyclamen hederifolium Aiton	Cyclamen hederifolium Aiton	7127810	accepted	Cyclamen hederifolium Aiton	59974	exact_match	Cyclamen hederifolium	http://www.wikidata.org/entity/Q1965935	59974			ok_auto
Vaccinium microcarpum (Turcz. ex Rupr.) Schmalh.	7135733	8344892	Vaccinium microcarpum (Turcz. ex Rupr.) Schmalh. ex Busch	Vaccinium microcarpum (Turcz. ex Rupr.) Schmalh.	7135733	homotypic synonym	Vaccinium microcarpum (Turcz. ex Rupr.) Schmalh.	669730	exact_match	Vaccinium microcarpum	http://www.wikidata.org/entity/Q4573422	669730			ok_auto
Rhododendron luteum Sweet	7135755	7135755	Rhododendron luteum Sweet	Rhododendron luteum Sweet	7135755	accepted	Rhododendron luteum Sweet	49467	exact_match	Rhododendron luteum	http://www.wikidata.org/entity/Q2591210	49467			ok_auto
Armeria arenaria (Pers.) Schult.	7136543	7136543	Armeria arenaria (Pers.) Schult.	Armeria arenaria (Pers.) Schult.	7136543	accepted	Armeria arenaria (Pers.) Schult.	218559	exact_match	Armeria arenaria	http://www.wikidata.org/entity/Q2863015	218559			ok_auto
Ulmus ×hollandica Mill.	7141604	7141604	Ulmus hollandica Mill.	Ulmus hollandica Mill.	7141604	accepted	Ulmus x hollandica Mill.	1211425	exact_match	Ulmus x hollandica	http://www.wikidata.org/entity/Q504004	1211425			ok_auto
Daphne cneorum L.	7150059	7150059	Daphne cneorum L.	Daphne cneorum L.	7150059	accepted	Daphne cneorum L.	224033	exact_match	Daphne cneorum	http://www.wikidata.org/entity/Q158141	224033			ok_auto
