dataset_scientificName	dataset_taxonID	acceptedNameUsageID	acceptedName	gbif_speciesName	gbif_taxonID	taxonomicStatus	ncbi_speciesName	ncbi_taxonID	status	ncbi_acceptedName	gbif_wikidata_uri	ncbi_taxonID_wd	ncbi_wikidata_uri	gbif_taxonID_wd	curation
Orobanche rubi Duby	3731228	7464279	Orobanche lucorum A.Braun	Orobanche lucorum A.Braun	7464279	accepted	Orobanche lucorum A.Braun	223112	exact_match	Orobanche lucorum			http://www.wikidata.org/entity/Q162359	3732504	wd_batch_update_gbif_taxonid
Euonymus bungeanus Maxim.	3794029	7265494	Euonymus maackii Rupr.	Euonymus bungeanus Maxim.	3794029	synonym	Euonymus bungeanus Maxim.	4309	exact_match	Euonymus maackii	http://www.wikidata.org/entity/Q163168				wd_batch_add_ncbi_taxonid
Minuartia sedoides (L.) Hiern	3811266	8068542	Cherleria sedoides L.	Minuartia sedoides (L.) Hiern	3811266	homotypic synonym	Minuartia sedoides (L.) Hiern, 1899	1435664	exact_match	Cherleria sedoides	http://www.wikidata.org/entity/Q243980				wd_batch_add_ncbi_taxonid
Minuartia cherlerioides (Sieber) Bech.	3813547	8358839	Facchinia cherlerioides subsp. cherlerioides	Minuartia cherlerioides (Hoppe) Bech.	3813547	homotypic synonym	Minuartia cherlerioides (Hoppe) Bech.	1479352	exact_match	Facchinia cherlerioides	http://www.wikidata.org/entity/Q1226069				wd_batch_add_ncbi_taxonid
Perovskia atriplicifolia Benth.	3889056	3889056	Perovskia atriplicifolia Benth.	Perovskia atriplicifolia Benth.	3889056	accepted	Perovskia atriplicifolia Benth., 1848	268885	exact_match	Salvia yangii	http://www.wikidata.org/entity/Q579476				wd_batch_add_ncbi_taxonid
Perovskia abrotanoides Kar.	3889083	3889083	Perovskia abrotanoides Kar.	Perovskia abrotanoides Kar.	3889083	accepted	Perovskia abrotanoides Kar., 1841	39354	exact_match	Salvia abrotanoides	http://www.wikidata.org/entity/Q1411504				wd_batch_add_ncbi_taxonid
Pulsatilla vernalis (L.) Mill.	3928615	3928615	Pulsatilla vernalis (L.) Mill.	Pulsatilla vernalis (L.) Mill.	3928615	accepted	Pulsatilla vernalis (L.) Mill., 1768	445233	exact_match	Anemone vernalis	http://www.wikidata.org/entity/Q149379				wd_batch_add_ncbi_taxonid
Malva multiflora (Cav.) Soldano, Banfi & Galasso	3933415	3933415	Malva multiflora (Cav.) Soldano, Banfi & Galasso	Lavatera cretica L.	3152773	synonym	Lavatera cretica L.	145752	exact_match	Malva linnaei	http://www.wikidata.org/entity/Q12210235				wd_batch_add_ncbi_taxonid
Malva thuringiaca (L.) Vis.	3940423	3940423	Malva thuringiaca (L.) Vis.	Malva thuringiaca (L.) Vis.	3940423	accepted	Malva thuringiaca (L.) Vis., 1851	61660	exact_match	Lavatera thuringiaca	http://www.wikidata.org/entity/Q15375754				wd_batch_add_ncbi_taxonid
Anagallis foemina Mill.	4005597	8368021	Lysimachia foemina (Mill.) U.Manns & Anderb.	Anagallis foemina Mill.	4005597	homotypic synonym	Anagallis foemina Mill., 1768	357596	exact_match	Lysimachia foemina	http://www.wikidata.org/entity/Q159113				wd_batch_add_ncbi_taxonid
Rumex arifolius All.	4036273	4036273	Rumex arifolius All.	Rumex arifolius All.	4036273	accepted	Rumex arifolius All.	565439	exact_match	Rumex alpestris	http://www.wikidata.org/entity/Q22113352				wd_batch_add_ncbi_taxonid
Rheum ×hybridum Murray	4037896	4037896	Rheum ×hybridum Murray	Rheum ×hybridum Murray	4037896	accepted	Rheum x hybridum Murray, 1775	3621	exact_match	Rheum rhabarbarum	http://www.wikidata.org/entity/Q15600583				wd_batch_add_ncbi_taxonid
Amsinckia micrantha Suksd.	4058401	2925870	Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.	Amsinckia micrantha Suksd.	4058401	synonym	Amsinckia micrantha Suksd., 1900	1213287	exact_match	Amsinckia menziesii	http://www.wikidata.org/entity/Q11890767				wd_batch_add_ncbi_taxonid
Trisetum distichophyllum (Vill.) P.Beauv.	4113205	4113205	Trisetum distichophyllum (Vill.) P.Beauv.	Trisetum distichophyllum (Vill.) P.Beauv.	4113205	accepted	Trisetum distichophyllum (Vill.) P.Beauv., 1812	470288	exact_match	Acrospelion distichophyllum	http://www.wikidata.org/entity/Q15511757				wd_batch_add_ncbi_taxonid
Oryzopsis paradoxa (L.) Nutt.	4134688	4134761	Piptatherum paradoxum (L.) P.Beauv.	Piptatherum paradoxum (L.) P.Beauv.	4134761	accepted	Piptatherum paradoxum (L.) P.Beauv., 1812	931263	exact_match	Achnatherum paradoxum	http://www.wikidata.org/entity/Q20060609				wd_batch_add_ncbi_taxonid
Stipa hyalina Nees	4139768	5674047	Nassella hyalina (Nees) Barkworth	Stipa hyalina Nees	4139768	homotypic synonym	Stipa hyalina Nees	399643	exact_match	Nassella hyalina	http://www.wikidata.org/entity/Q15505446				wd_batch_add_ncbi_taxonid
Vulpia unilateralis (L.) Stace	4144456	4144456	Vulpia unilateralis (L.) Stace	Vulpia unilateralis (L.) Stace	4144456	accepted	Vulpia unilateralis (L.) Stace	200282	exact_match	Festuca unilateralis	http://www.wikidata.org/entity/Q15514303				wd_batch_add_ncbi_taxonid
Vulpia muralis (Kunth) Nees	4144940	4144940	Vulpia muralis (Kunth) Nees	Vulpia muralis (Kunth) Nees	4144940	accepted	Vulpia muralis (Kunth) Nees	200524	exact_match	Festuca muralis	http://www.wikidata.org/entity/Q15514929				wd_batch_add_ncbi_taxonid
Hystrix patula Moench	4146782	8112114	Elymus hystrix L.	Hystrix patula Moench	4146782	homotypic synonym	Hystrix patula Moench	145781	exact_match	Elymus hystrix	http://www.wikidata.org/entity/Q15502254				wd_batch_add_ncbi_taxonid
Phytolacca esculenta Van Houtte	4192546	3084022	Phytolacca acinosa Roxb.	Phytolacca esculenta Van Houtte	4192546	synonym	Phytolacca esculenta Van Houtte	3528	exact_match	Phytolacca acinosa	http://www.wikidata.org/entity/Q17244662				wd_batch_add_ncbi_taxonid
Doronicum willdenowii (Rouy) A.W.Hill	4230874	8340385	Doronicum plantagineum L.	Doronicum plantagineum L.	8340385	accepted	Doronicum plantagineum L.	118771	exact_match	Doronicum plantagineum			http://www.wikidata.org/entity/Q3037134	3142980	wd_batch_update_gbif_taxonid
Thelypteris limbosperma (All.) H.P.Fuchs	5275345	2651495	Oreopteris limbosperma (All.) Holub	Thelypteris limbosperma (All.) H.P.Fuchs	5275345	synonym	Thelypteris limbosperma (All.) H.P.Fuchs	174658	exact_match	Oreopteris limbosperma	http://www.wikidata.org/entity/Q12047762				wd_batch_add_ncbi_taxonid
Typha minima Funck	5289492	5289492	Typha minima Funck	Typha minima Funck	5289492	accepted	Typha minima Funck	133196	exact_match	Rohrbachia minima	http://www.wikidata.org/entity/Q150095				wd_batch_add_ncbi_taxonid
Vulpia myuros (L.) C.C.Gmel.	5289590	5289590	Vulpia myuros (L.) C.C.Gmel.	Vulpia myuros (L.) C.C.Gmel.	5289590	accepted	Vulpia myuros (L.) C.C.Gmel.	89686	exact_match	Festuca myuros	http://www.wikidata.org/entity/Q1456751				wd_batch_add_ncbi_taxonid
