qid,-P846,#,P846,#,S248,s813
Q17435350,"""4095810""",Remove identifier pointing to homonym with wrong authorship,"""8201823""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q17251777,"""2989017""",Remove identifier pointing to homonym with wrong authorship,"""8289268""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q148734,"""2702321""",Remove identifier pointing to homonym with wrong authorship,"""7679536""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q157343,"""3172085""",Remove identifier pointing to homonym with wrong authorship,"""7874883""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q853554,"""3121147""",Remove identifier pointing to homonym with wrong authorship,"""8195160""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159345,"""2721154""",Remove identifier pointing to homonym with wrong authorship,"""8388555""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q161653,"""7331652""",Remove identifier pointing to homonym with wrong authorship,"""7693914""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q7078662,"""3188905""",Remove identifier pointing to homonym with wrong authorship,"""7884360""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q157643,"""2888944""",Remove identifier pointing to homonym with wrong authorship,"""8195144""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q156854,"""2914401""",Remove identifier pointing to homonym with wrong authorship,"""9063248""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q937450,"""5384468""",Remove identifier pointing to homonym with wrong authorship,"""8089871""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15572376,"""5585288""",Remove identifier pointing to homonym with wrong authorship,"""8237138""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q2036293,"""7319754""",Remove identifier pointing to homonym with wrong authorship,"""8915858""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q158938,"""3727348""",Remove identifier pointing to homonym with wrong authorship,"""8903918""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q225569,"""3110927""",Remove identifier pointing to homonym with wrong authorship,"""8286501""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q685946,"""3120266""",Remove identifier pointing to homonym with wrong authorship,"""9536147""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164032,"""3050018""",Remove identifier pointing to homonym with wrong authorship,"""7473187""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159743,"""5341509""",Remove identifier pointing to homonym with wrong authorship,"""8810827""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q12217878,"""5384743""",Remove identifier pointing to homonym with wrong authorship,"""8993502""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q139007,"""5540618""",Remove identifier pointing to homonym with wrong authorship,"""7911410""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q3241249,"""4048333""",Remove identifier pointing to homonym with wrong authorship,"""7734774""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q10786681,"""2974822""",Remove identifier pointing to homonym with wrong authorship,"""7426824""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q4108053,"""7331812""",Remove identifier pointing to homonym with wrong authorship,"""7871681""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164692,"""5375470""",Remove identifier pointing to homonym with wrong authorship,"""9184619""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1532800,"""7318199""",Remove identifier pointing to homonym with wrong authorship,"""7560711""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1308044,"""3121605""",Remove identifier pointing to homonym with wrong authorship,"""8373355""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q571357,"""3086594""",Remove identifier pointing to homonym with wrong authorship,"""8035698""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q157442,"""2840512""",Remove identifier pointing to homonym with wrong authorship,"""7845022""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q7485552,"""3051094""",Remove identifier pointing to homonym with wrong authorship,"""7870683""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q12217924,"""5584298""",Remove identifier pointing to homonym with wrong authorship,"""8150863""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15546357,"""2990482""",Remove identifier pointing to homonym with wrong authorship,"""7753571""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q572693,"""3088491""",Remove identifier pointing to homonym with wrong authorship,"""7497356""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159360,"""2913632""",Remove identifier pointing to homonym with wrong authorship,"""9121716""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159118,"""2704266""",Remove identifier pointing to homonym with wrong authorship,"""8300875""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q161409,"""7334248""",Remove identifier pointing to homonym with wrong authorship,"""8164781""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q44120,"""3021365""",Remove identifier pointing to homonym with wrong authorship,"""7931731""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15485005,"""3678709""",Remove identifier pointing to homonym with wrong authorship,"""8406906""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q7136830,"""3171819""",Remove identifier pointing to homonym with wrong authorship,"""8049400""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15577678,"""3135539""",Remove identifier pointing to homonym with wrong authorship,"""7569785""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q163287,"""7332962""",Remove identifier pointing to homonym with wrong authorship,"""8019690""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159237,"""2704238""",Remove identifier pointing to homonym with wrong authorship,"""8086756""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q614880,"""3132567""",Remove identifier pointing to homonym with wrong authorship,"""8298495""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q158865,"""5365359""",Remove identifier pointing to homonym with wrong authorship,"""8011540""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160244,"""7332901""",Remove identifier pointing to homonym with wrong authorship,"""7989064""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q147096,"""3190167""",Remove identifier pointing to homonym with wrong authorship,"""8077391""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q146400,"""2932865""",Remove identifier pointing to homonym with wrong authorship,"""9150405""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q161882,"""7266559""",Remove identifier pointing to homonym with wrong authorship,"""7482782""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15092397,"""4005201""",Remove identifier pointing to homonym with wrong authorship,"""8109831""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159445,"""3047146""",Remove identifier pointing to homonym with wrong authorship,"""9040863""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q163311,"""7276649""",Remove identifier pointing to homonym with wrong authorship,"""7931051""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1795431,"""7270120""",Remove identifier pointing to homonym with wrong authorship,"""7408221""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164064,"""3981088""",Remove identifier pointing to homonym with wrong authorship,"""7695021""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q7555755,"""2929577""",Remove identifier pointing to homonym with wrong authorship,"""7538163""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
