dataset_scientificName	dataset_taxonID	acceptedNameUsageID	acceptedName	gbif_speciesName	gbif_taxonID	taxonomicStatus	ncbi_speciesName	ncbi_taxonID	status	ncbi_acceptedName	gbif_wikidata_uri	ncbi_taxonID_wd	ncbi_wikidata_uri	gbif_taxonID_wd	curation
Agrostis gigantea × stolonifera	10303464	10303464	Agrostis gigantea × stolonifera	Agrostis gigantea × stolonifera	10303464	accepted	Agrostis gigantea x Agrostis stolonifera	345908	noauthor	Agrostis gigantea x Agrostis stolonifera					possible_homonym
Potamogeton perfoliatus × praelongus	10411394	10411394	Potamogeton perfoliatus × praelongus	Potamogeton perfoliatus × praelongus	10411394	accepted	Potamogeton perfoliatus x Potamogeton praelongus	713668	noauthor	Potamogeton perfoliatus x Potamogeton praelongus					possible_homonym
Euphrasia micrantha × nemorosa	10474510	10474510	Euphrasia micrantha × nemorosa	Euphrasia micrantha × nemorosa	10474510	accepted	Euphrasia micrantha x Euphrasia nemorosa	2203457	noauthor	Euphrasia micrantha x Euphrasia nemorosa					possible_homonym
Galeopsis bifida × tetrahit	10482909	10482909	Galeopsis bifida × tetrahit	Galeopsis bifida × tetrahit	10482909	accepted	Galeopsis bifida x Galeopsis tetrahit	1030014	noauthor	Galeopsis bifida x Galeopsis tetrahit					possible_homonym
Salix caprea × cinerea	10491133	10491133	Salix caprea × cinerea	Salix caprea × cinerea	10491133	accepted	Salix caprea x Salix cinerea	717501	noauthor	Salix caprea x Salix cinerea					possible_homonym
Centaurea jacea × nigra	10511141	7899998	Centaurea ×moncktonii Thuill.	Centaurea ×moncktonii Thuill.	7899998	accepted	Centaurea x moncktonii	1042300	noauthor	Centaurea x moncktonii			http://www.wikidata.org/entity/Q15567653	4925587	possible_homonym
Larix decidua × kaempferi	10622916	4938682	Larix ×marschlinsii Coaz	Larix xeurolepis A.Henry	8781158	synonym	Larix x eurolepis A.Henry	49226	fuzzy	Larix x marschlinsii			http://www.wikidata.org/entity/Q21177790	4938682	other
Larix decidua × kaempferi	10622916	4938682	Larix ×marschlinsii Coaz	Larix xmarschlinsii Coaz	8569687	synonym	Larix x marschlinsii Coaz	49226	fuzzy	Larix x marschlinsii			http://www.wikidata.org/entity/Q21177790	4938682	other
Centaurea serotina (Dubois) Boreau	10667281	7223253	Centaurea decipiens subsp. decipiens	Centaurea crocata Gand.	7548782	synonym	Centaurea crocata	145491	noauthor	Centaurea crocata			http://www.wikidata.org/entity/Q15564979	3128544	possible_homonym
Centaurea serotina (Dubois) Boreau	10667281	7223253	Centaurea decipiens subsp. decipiens	Centaurea ×moncktonii Britton	4925587	synonym	Centaurea x moncktonii C.E.Britton	1042300	author_mismatch	Centaurea x moncktonii	http://www.wikidata.org/entity/Q15567653	1042300	http://www.wikidata.org/entity/Q15567653	4925587	wd_verify_authorship
Rubus guttifer Trávn. & Holub	10766572	10766572	Rubus guttifer Trávn. & Holub	Rubus guttifer Trávn. & Holub	10766572	accepted	Rubus guttiferus Travn. & Holub	1546340	fuzzy	Rubus guttiferus			http://www.wikidata.org/entity/Q17245657	3000006	other
Minuartia rupestris (Scop.) Schinz & Thell.	10931056	3815501	Pseudostellaria rupestris (Turcz.) Pax	Minuartia rupestris Schinz & Thell.	10931056	heterotypic synonym	Minuartia rupestris (Scop.) Schinz & Thell.	325503	author_mismatch	Facchinia rupestris			http://www.wikidata.org/entity/Q91312035	8976094	possible_homonym
Sorbus collina M.Lepsí, P.Lepsí & N.Mey.	10941064	9453938	Aria collina (M.Lepsí, P.Lepsí & N.Mey.) Sennikov & Kurtto	Sorbus collina M.Lep	10941064	homotypic synonym	Sorbus collina M.Lepi, P.Lepi & N.Mey., 2015	1902518	author_mismatch	Aria collina	http://www.wikidata.org/entity/Q81737438				possible_homonym
Silene baccifera (L.) Durande	10953644	7267309	Silene baccifera (L.) Roth	Silene baccifera (L.) Durande	10953644	homotypic synonym	Silene baccifera (L.) Roth	54818	author_mismatch	Silene baccifera			http://www.wikidata.org/entity/Q158883	7267309	possible_homonym
Aster bellidiastrum (L.) Scop.	11072581	4251552	Bellidiastrum michelii Cass.	Aster bellidiastrum (L.) Scop.	11072581	synonym	Aster bellidiastrum (L.) Scop.	191233	exact_match	Aster bellidiastrum			http://www.wikidata.org/entity/Q27972912	5385837	gbif_verify_synonym
